Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
A Bagai (CAN),2008-2013,2008,2013,5,9,9,11,5,6,5,0,2 (1ct 1st),1.222,0.56,1.22,0.67
S Chandramohan (SGP),2019-2019,2019,2019,0,12,12,11,11,0,0,11,3 (3ct 0st),0.916,0.92,0.92,0.00
TH David (SGP),2019-2019,2019,2019,0,12,12,11,11,0,0,11,4 (4ct 0st),0.916,0.92,0.92,0.00
N Davin (NAM),2019-2019,2019,2019,0,16,16,11,11,0,0,11,3 (3ct 0st),0.687,0.69,0.69,0.00
JSE Dunford (JER),2019-2019,2019,2019,0,17,17,11,6,5,6,0,1 (1ct 0st),0.647,0.35,0.65,0.29
MG Erasmus (NAM),2019-2019,2019,2019,0,16,16,11,11,0,0,11,2 (2ct 0st),0.687,0.69,0.69,0.00
JP Faulkner (AUS),2012-2017,2012,2017,5,24,24,11,11,0,0,11,2 (2ct 0st),0.458,0.46,0.46,0.00
G Gambhir (INDIA),2007-2012,2007,2012,5,37,36,11,11,0,0,11,2 (2ct 0st),0.305,0.30,0.30,0.00
Imran Nazir (PAK),2007-2012,2007,2012,5,25,25,11,11,0,0,11,2 (2ct 0st),0.44,0.44,0.44,0.00
Jatinder Singh (OMAN),2015-2019,2015,2019,4,25,25,11,11,0,0,11,2 (2ct 0st),0.44,0.44,0.44,0.00
Khawar Ali (OMAN),2015-2019,2015,2019,4,29,28,11,11,0,0,11,2 (2ct 0st),0.392,0.38,0.38,0.00
Mohammed Rizlan (QAT),2019-2019,2019,2019,0,15,15,11,8,3,8,0,3 (2ct 1st),0.733,0.53,0.73,0.20
PL Mommsen (SCOT),2012-2016,2012,2016,4,24,22,11,11,0,0,11,2 (2ct 0st),0.5,0.46,0.46,0.00
GD Phillips (NZ),2017-2018,2017,2018,1,11,10,11,9,2,7,2,4 (3ct 1st),1.1,0.82,1.00,0.18
Rizwan Cheema (CAN),2008-2019,2008,2019,11,24,24,11,11,0,0,11,2 (2ct 0st),0.458,0.46,0.46,0.00
Rohan Mustafa (UAE),2014-2019,2014,2019,5,38,38,11,11,0,0,11,2 (2ct 0st),0.289,0.29,0.29,0.00
AD Russell (WI),2011-2018,2011,2018,7,47,47,11,11,0,0,11,2 (2ct 0st),0.234,0.23,0.23,0.00
Shadab Khan (PAK),2017-2019,2017,2019,2,38,38,11,11,0,0,11,1 (1ct 0st),0.289,0.29,0.29,0.00
Shaiman Anwar (UAE),2014-2019,2014,2019,5,32,32,11,11,0,0,11,2 (2ct 0st),0.343,0.34,0.34,0.00
DW Steyn (SA),2007-2019,2007,2019,12,44,44,11,11,0,0,11,1 (1ct 0st),0.25,0.25,0.25,0.00
T Taibu (ZIM),2007-2012,2007,2012,5,17,17,11,6,5,6,0,3 (0ct 3st),0.647,0.35,0.65,0.29
PA van Meekeren (NL),2013-2019,2013,2019,6,41,39,11,11,0,0,11,2 (2ct 0st),0.282,0.27,0.27,0.00
D Weston (GER),2019-2019,2019,2019,0,6,6,11,9,2,9,0,4 (3ct 1st),1.833,1.50,1.83,0.33
Abdur Razzak (BDESH),2006-2014,2006,2014,8,34,33,10,10,0,0,10,2 (2ct 0st),0.303,0.29,0.29,0.00
GJ Bailey (AUS/World),2012-2017,2012,2017,5,30,30,10,10,0,0,10,2 (2ct 0st),0.333,0.33,0.33,0.00
SJ Benn (WI),2008-2016,2008,2016,8,24,24,10,10,0,0,10,3 (3ct 0st),0.416,0.42,0.42,0.00
TT Bresnan (ENG),2006-2014,2006,2014,8,34,34,10,10,0,0,10,2 (2ct 0st),0.294,0.29,0.29,0.00
RP Burl (ZIM),2018-2019,2018,2019,1,16,16,10,10,0,0,10,2 (2ct 0st),0.625,0.63,0.63,0.00
SS Cottrell (WI),2014-2019,2014,2019,5,22,22,10,10,0,0,10,2 (2ct 0st),0.454,0.45,0.45,0.00
