Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
Baljit Singh (ITA),2019-2019,2019,2019,0,8,3,0,4,3,3,0,1.33,16,25,0,0,1,0,0, 0.50 ,0.00,0.00,10.80
GJ Batty (ENG),2009-2009,2009,2009,0,1,1,0,4,4,4,0,4,7,57.14,0,0,0,0,0, 4.00 ,0.00,0.00,25.26
P Bharat Patel (PNM),2019-2019,2019,2019,0,2,1,1,4,4*,4,1,-,7,57.14,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
SR Bhudia (KENYA),2019-2019,2019,2019,0,4,3,1,4,3,3,0,2,16,25,0,0,1,0,0, 1.00 ,0.00,0.00,11.20
JAR Blain (SCOT),2007-2008,2007,2008,1,6,3,1,4,3*,3,1,2,5,80,0,0,1,0,0, 0.67 ,0.00,0.00,33.20
CJ Boyce (AUS),2014-2016,2014,2016,2,7,2,1,4,3,3,0,4,7,57.14,0,0,0,0,0, 0.57 ,0.00,0.00,25.26
PR Brown (ENG),2019-2019,2019,2019,0,4,1,1,4,4*,4,1,-,9,44.44,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
NM Carter (SCOT),2013-2013,2013,2013,0,7,2,0,4,3,3,0,2,12,33.33,0,0,0,0,0, 0.57 ,0.00,0.00,14.53
YS Chahal (INDIA),2016-2019,2016,2019,3,36,3,2,4,3*,3,1,4,9,44.44,0,0,0,0,0, 0.11 ,0.00,0.00,20.18
PC Connell (IRE),2008-2010,2008,2010,2,9,3,2,4,3*,3,1,4,7,57.14,0,0,1,0,0, 0.44 ,0.00,0.00,25.26
PA Desai (CAN),2012-2012,2012,2012,0,1,1,1,4,4*,4,1,-,7,57.14,0,0,0,0,0, 4.00 ,0.00,0.00,#VALUE!
AB Dursak (TKY),2019-2019,2019,2019,0,4,4,0,4,3,3,0,1,24,16.66,0,0,2,0,0, 1.00 ,0.00,0.00,7.26
C Emmott (Chile),2019-2019,2019,2019,0,2,2,0,4,4,4,0,2,11,36.36,0,0,1,0,0, 2.00 ,0.00,0.00,15.74
Farhan Ahmed (UAE),2016-2016,2016,2016,0,3,1,0,4,4,4,0,4,8,50,0,0,0,0,0, 1.33 ,0.00,0.00,22.40
K Gore (USA),2019-2019,2019,2019,0,4,1,1,4,4*,4,1,-,3,133.33,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
Ibrahim Rizan (Mald),2019-2019,2019,2019,0,5,3,1,4,3,3,0,2,14,28.57,0,0,0,0,0, 0.80 ,0.00,0.00,12.63
Imran Haider (UAE),2016-2019,2016,2019,3,11,2,2,4,4*,4,1,-,8,50,0,0,0,0,0, 0.36 ,0.00,0.00,#VALUE!
H Ivanov (),2019-2019,2019,2019,0,3,1,0,4,4,4,0,4,6,66.66,0,0,0,0,0, 1.33 ,0.00,0.00,29.06
A Karn (NEPAL),2015-2015,2015,2015,0,2,1,0,4,4,4,0,4,7,57.14,0,0,0,0,0, 2.00 ,0.00,0.00,25.26
MF Koc (TKY),2019-2019,2019,2019,0,2,2,1,4,4*,4,1,4,15,26.66,0,0,1,0,0, 2.00 ,0.00,0.00,13.06
CBRLS Kumara (SL),2019-2019,2019,2019,0,3,1,0,4,4,4,0,4,2,200,0,0,0,1,0, 1.33 ,0.00,0.00,82.40
CK Langeveldt (SA),2005-2010,2005,2010,5,9,3,2,4,2*,2,1,4,8,50,0,0,0,0,0, 0.44 ,0.00,0.00,22.40
NM Lyon (AUS),2016-2018,2016,2018,2,2,1,1,4,4*,4,1,-,4,100,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
RT Lyons (SCOT),2010-2010,2010,2010,0,2,2,0,4,4,4,0,2,17,23.52,0,0,1,0,0, 2.00 ,0.00,0.00,10.61
GE Mathurin (WI),2011-2012,2011,2012,1,3,2,2,4,3*,3,1,-,5,80,0,0,0,0,0, 1.33 ,0.00,0.00,#VALUE!
Mohammad Irfan (PAK),2012-2019,2012,2019,7,22,4,4,4,2*,2,1,-,8,50,0,0,0,0,0, 0.18 ,0.00,0.00,#VALUE!
Mohammad Tauqir (UAE),2015-2015,2015,2015,0,3,2,1,4,4,4,0,4,6,66.66,0,0,0,1,0, 1.33 ,0.00,0.00,29.06
Muhammad Khurram (MWI),2019-2019,2019,2019,0,5,3,0,4,3,3,0,1.33,20,20,0,0,1,0,0, 0.80 ,0.00,0.00,8.80
Muhammad Rafique (BAH),2019-2019,2019,2019,0,2,1,0,4,4,4,0,4,5,80,0,0,0,0,0, 2.00 ,0.00,0.00,34.40
JM Muirhead (AUS),2014-2014,2014,2014,0,5,2,1,4,3,3,0,4,8,50,0,0,0,0,0, 0.80 ,0.00,0.00,22.40
Nazmus Sadat (BDESH),2006-2006,2006,2006,0,1,1,0,4,4,4,0,4,3,133.33,0,0,0,0,0, 4.00 ,0.00,0.00,55.73
JO Ngoche (KENYA),2012-2013,2012,2013,1,7,3,1,4,2,2,0,2,17,23.52,0,0,0,0,0, 0.57 ,0.00,0.00,10.61
Pavandeep Singh (MAL),2019-2019,2019,2019,0,10,4,3,4,2*,2,1,4,7,57.14,0,0,0,0,0, 0.40 ,0.00,0.00,25.26
Qasim Zia (BAH),2019-2019,2019,2019,0,3,1,1,4,4*,4,1,-,1,400,0,0,0,1,0, 1.33 ,0.00,0.00,#VALUE!
NJ Reardon (AUS),2014-2014,2014,2014,0,2,1,0,4,4,4,0,4,8,50,0,0,0,0,0, 2.00 ,0.00,0.00,22.40
CB Sole (SCOT),2017-2018,2017,2018,1,4,1,1,4,4*,4,1,-,2,200,0,0,0,1,0, 1.00 ,0.00,0.00,#VALUE!
CR Suryawanshi (SGP),2019-2019,2019,2019,0,3,2,0,4,4,4,0,2,6,66.66,0,0,1,0,0, 1.33 ,0.00,0.00,27.86
K Suttisan (THAI),2019-2019,2019,2019,0,2,2,0,4,4,4,0,2,5,80,0,0,1,1,0, 2.00 ,0.00,0.00,33.20
SP Terry (IRE),2016-2016,2016,2016,0,1,1,0,4,4,4,0,4,6,66.66,0,0,0,0,0, 4.00 ,0.00,0.00,29.06
T Thushara (SL),2008-2010,2008,2010,2,6,2,0,4,3,3,0,2,8,50,0,0,0,0,0, 0.67 ,0.00,0.00,21.20
T Tshose (Botsw),2019-2019,2019,2019,0,2,2,2,4,4*,4,1,-,6,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
T Ulutuna (TKY),2019-2019,2019,2019,0,3,3,0,4,4,4,0,1.33,9,44.44,0,0,2,1,0, 1.33 ,0.00,0.00,18.57
S Vashisht (ROM),2019-2019,2019,2019,0,3,1,0,4,4,4,0,4,6,66.66,0,0,0,1,0, 1.33 ,0.00,0.00,29.06
Abu Jayed (BDESH),2018-2018,2018,2018,0,3,2,0,3,2,2,0,1.5,7,42.85,0,0,0,0,0, 1.00 ,0.00,0.00,18.04
GJ Agius (MALTA),2019-2019,2019,2019,0,2,2,0,3,3,3,0,1.5,15,20,0,0,1,0,0, 1.50 ,0.00,0.00,8.90
Amir Hayat (UAE),2018-2019,2018,2019,1,4,2,0,3,3,3,0,1.5,6,50,0,0,1,0,0, 0.75 ,0.00,0.00,20.90
Amjad Mahboob (SGP),2019-2019,2019,2019,0,11,5,1,3,1*,1,1,0.75,14,21.42,0,0,2,0,0, 0.27 ,0.00,0.00,9.02
A Aspiotis (),2019-2019,2019,2019,0,3,1,1,3,3*,3,1,-,4,75,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
MC Bascombe (WI),2011-2011,2011,2011,0,1,1,0,3,3,3,0,3,7,42.85,0,0,0,0,0, 3.00 ,0.00,0.00,18.94
P Bhart (NOR),2019-2019,2019,2019,0,5,3,2,3,2*,2,1,3,17,17.64,0,0,1,0,0, 0.60 ,0.00,0.00,8.86
S Byrne (MALTA),2019-2019,2019,2019,0,2,2,0,3,3,3,0,1.5,9,33.33,0,0,1,0,0, 1.50 ,0.00,0.00,14.23
CL Cairns (NZ),2005-2006,2005,2006,1,2,2,0,3,2,2,0,1.5,13,23.07,0,0,0,0,0, 1.50 ,0.00,0.00,10.13
D de la Puente (Peru),2019-2019,2019,2019,0,2,2,1,3,2*,2,1,3,7,42.85,0,0,0,0,0, 1.50 ,0.00,0.00,18.94
ST de Silva (SL),2017-2017,2017,2017,0,3,2,0,3,3,3,0,1.5,7,42.85,0,0,1,0,0, 1.00 ,0.00,0.00,18.04
Fahad Ali (),2019-2019,2019,2019,0,3,3,0,3,2,2,0,1,14,21.42,0,0,1,0,0, 1.00 ,0.00,0.00,9.17
Fawad Ahmed (AUS),2013-2013,2013,2013,0,2,1,1,3,3*,3,1,-,5,60,0,0,0,0,0, 1.50 ,0.00,0.00,#VALUE!
Fida Hussain (ITA),2019-2019,2019,2019,0,2,1,1,3,3*,3,1,-,4,75,0,0,0,0,0, 1.50 ,0.00,0.00,#VALUE!
WT Gavera (PNG),2015-2017,2015,2017,2,6,2,0,3,2,2,0,1.5,6,50,0,0,0,0,0, 0.50 ,0.00,0.00,20.90
JOA Gordon (CAN),2013-2019,2013,2019,6,7,2,2,3,2*,2,1,-,6,50,0,0,0,0,0, 0.43 ,0.00,0.00,#VALUE!
AM Guruge (UAE),2014-2015,2014,2015,1,5,3,2,3,1*,1,1,3,8,37.5,0,0,0,0,0, 0.60 ,0.00,0.00,16.80
Ibrahim Nashath (Mald),2019-2019,2019,2019,0,3,2,1,3,3*,3,1,3,5,60,0,0,1,0,0, 1.00 ,0.00,0.00,25.80
Javed Maroofkhail (NOR),2019-2019,2019,2019,0,2,1,0,3,3,3,0,3,8,37.5,0,0,0,0,0, 1.50 ,0.00,0.00,16.80
Junaid Khan (PAK),2011-2014,2011,2014,3,9,2,2,3,3*,3,1,-,4,75,0,0,0,0,0, 0.33 ,0.00,0.00,#VALUE!
MS Kasprowicz (AUS),2005-2005,2005,2005,0,2,1,1,3,3*,3,1,-,5,60,0,0,0,0,0, 1.50 ,0.00,0.00,#VALUE!
GJP Kruger (SA),2006-2006,2006,2006,0,1,1,0,3,3,3,0,3,5,60,0,0,0,0,0, 3.00 ,0.00,0.00,25.80
Mahmad Data (PNM),2019-2019,2019,2019,0,2,1,0,3,3,3,0,3,5,60,0,0,0,0,0, 1.50 ,0.00,0.00,25.80
Nazmul Hossain (BDESH),2009-2012,2009,2012,3,4,2,2,3,3*,3,1,-,15,20,0,0,0,0,0, 0.75 ,0.00,0.00,#VALUE!
R Olipa (UGA),2019-2019,2019,2019,0,2,1,0,3,3,3,0,3,4,75,0,0,0,0,0, 1.50 ,0.00,0.00,31.80
M Patel (PNM),2019-2019,2019,2019,0,2,1,1,3,3*,3,1,-,6,50,0,0,0,0,0, 1.50 ,0.00,0.00,#VALUE!
LN Rajbanshi (NEPAL),2018-2019,2018,2019,1,12,2,1,3,3,3,0,3,7,42.85,0,0,0,0,0, 0.25 ,0.00,0.00,18.94
KAJ Roach (WI),2008-2012,2008,2012,4,11,1,1,3,3*,3,1,-,2,150,0,0,0,0,0, 0.27 ,0.00,0.00,#VALUE!
MM Sharma (INDIA),2014-2015,2014,2015,1,8,2,2,3,3*,3,1,-,7,42.85,0,0,0,0,0, 0.38 ,0.00,0.00,#VALUE!
LA Simango (Moz),2019-2019,2019,2019,0,3,2,1,3,2,2,0,3,4,75,0,0,0,0,0, 1.00 ,0.00,0.00,31.80
RP Singh (INDIA),2007-2009,2007,2009,2,10,2,2,3,2*,2,1,-,3,100,0,0,0,0,0, 0.30 ,0.00,0.00,#VALUE!
MJ Swepson (AUS),2018-2018,2018,2018,0,1,1,1,3,3*,3,1,-,4,75,0,0,0,0,0, 3.00 ,0.00,0.00,#VALUE!
Tauqeer Hussain (ESP),2019-2019,2019,2019,0,4,1,1,3,3*,3,1,-,3,100,0,0,0,0,0, 0.75 ,0.00,0.00,#VALUE!
R Ulutuna (TKY),2019-2019,2019,2019,0,4,4,0,3,1,1,0,0.75,16,18.75,0,0,1,0,0, 0.75 ,0.00,0.00,7.95
SMK Waththage (CZK-R),2019-2019,2019,2019,0,5,1,0,3,3,3,0,3,5,60,0,0,0,0,0, 0.60 ,0.00,0.00,25.80
Zahid Hussain (CAN),2012-2012,2012,2012,0,3,2,2,3,2*,2,1,-,8,37.5,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
Abdullah Mahmood (DEN),2019-2019,2019,2019,0,1,1,0,2,2,2,0,2,2,100,0,0,0,0,0, 2.00 ,0.00,0.00,41.20
AG Achar (SGP),2019-2019,2019,2019,0,3,2,2,2,2*,2,1,-,2,100,0,0,0,0,0, 0.67 ,0.00,0.00,#VALUE!
N Advani (GIBR),2019-2019,2019,2019,0,1,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 2.00 ,0.00,0.00,21.20
Aftab Alam (AFG),2012-2018,2012,2018,6,12,5,3,2,1*,1,1,1,9,22.22,0,0,1,0,0, 0.17 ,0.00,0.00,9.49
Areeb Quadir (Fin),2019-2019,2019,2019,0,2,1,0,2,2,2,0,2,12,16.66,0,0,0,0,0, 1.00 ,0.00,0.00,7.86
Arshad Hayat (CZK-R),2019-2019,2019,2019,0,6,2,0,2,2,2,0,1,7,28.57,0,0,1,0,0, 0.33 ,0.00,0.00,12.03
KMC Bandara (SL),2016-2016,2016,2016,0,1,1,1,2,2*,2,1,-,4,50,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
Bashir Shah (DEN),2019-2019,2019,2019,0,4,2,2,2,1*,1,1,-,2,100,0,0,0,0,0, 0.50 ,0.00,0.00,#VALUE!
A Bhattarai (NEPAL),2014-2014,2014,2014,0,1,1,0,2,2,2,0,2,3,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,27.86
JP Bray (IRE),2009-2009,2009,2009,0,2,2,0,2,2,2,0,1,17,11.76,0,0,1,0,0, 1.00 ,0.00,0.00,5.30
GB Brent (ZIM),2006-2007,2006,2007,1,3,1,0,2,2,2,0,2,5,40,0,0,0,0,0, 0.67 ,0.00,0.00,17.20
P Buccimazza (PORT),2019-2019,2019,2019,0,4,2,0,2,1,1,0,1,13,15.38,0,0,0,0,0, 0.50 ,0.00,0.00,6.75
A Carthew (Chile),2019-2019,2019,2019,0,4,1,1,2,2*,2,1,-,2,100,0,0,0,0,0, 0.50 ,0.00,0.00,#VALUE!
S Chophel (BHU),2019-2019,2019,2019,0,1,1,1,2,2*,2,1,-,5,40,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
H Dajc (Serb),2019-2019,2019,2019,0,2,2,1,2,2*,2,1,2,3,66.66,0,0,1,0,0, 1.00 ,0.00,0.00,27.86
Dawlat Ahmadzai (AFG),2010-2010,2010,2010,0,2,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
MVT Fernando (SL),2017-2017,2017,2017,0,1,1,0,2,2,2,0,2,2,100,0,0,0,0,0, 2.00 ,0.00,0.00,41.20
C Fry (LUX),2019-2019,2019,2019,0,3,1,0,2,2,2,0,2,6,33.33,0,0,0,0,0, 0.67 ,0.00,0.00,14.53
BD Glover (NL),2019-2019,2019,2019,0,19,4,3,2,1*,1,1,2,8,25,0,0,1,0,0, 0.11 ,0.00,0.00,11.20
Jandu Hamoud (KUW),2019-2019,2019,2019,0,6,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 0.33 ,0.00,0.00,21.20
RJ Harris (AUS),2010-2010,2010,2010,0,3,1,1,2,2*,2,1,-,1,200,0,0,0,0,0, 0.67 ,0.00,0.00,#VALUE!
BW Hilfenhaus (AUS),2007-2012,2007,2012,5,7,3,1,2,2,2,0,1,10,20,0,0,1,0,0, 0.29 ,0.00,0.00,8.60
A Husain (Arg),2019-2019,2019,2019,0,5,1,1,2,2*,2,1,-,1,200,0,0,0,0,0, 0.40 ,0.00,0.00,#VALUE!
Ilyas Ahmed (KUW),2019-2019,2019,2019,0,6,3,2,2,1*,1,1,2,3,66.66,0,0,0,0,0, 0.33 ,0.00,0.00,27.86
AJ Ireland (ZIM),2006-2006,2006,2006,0,1,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
S Kansoy (TKY),2019-2019,2019,2019,0,4,4,0,2,2,2,0,0.5,7,28.57,0,0,3,0,0, 0.50 ,0.00,0.00,11.73
A Khan (ENG),2009-2009,2009,2009,0,1,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 2.00 ,0.00,0.00,21.20
RJ Kirtley (ENG),2007-2007,2007,2007,0,1,1,1,2,2*,2,1,-,4,50,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
I Lisboa (Chile),2019-2019,2019,2019,0,1,1,0,2,2,2,0,2,3,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,27.86
J Long (PHI),2019-2019,2019,2019,0,2,1,1,2,2*,2,1,-,6,33.33,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
T Lungameni (NAM),2019-2019,2019,2019,0,6,1,1,2,2*,2,1,-,2,100,0,0,0,0,0, 0.33 ,0.00,0.00,#VALUE!
MJ Mason (NZ),2006-2008,2006,2008,2,3,1,0,2,2,2,0,2,2,100,0,0,0,0,0, 0.67 ,0.00,0.00,41.20
Muslim Yar (GER),2019-2019,2019,2019,0,7,1,0,2,2,2,0,2,6,33.33,0,0,0,0,0, 0.29 ,0.00,0.00,14.53
S Nadigotla (ROM),2019-2019,2019,2019,0,2,1,0,2,2,2,0,2,6,33.33,0,0,0,0,0, 1.00 ,0.00,0.00,14.53
Najeeb Amar (HKG),2014-2014,2014,2014,0,1,1,0,2,2,2,0,2,9,22.22,0,0,0,0,0, 2.00 ,0.00,0.00,10.09
W Nalisa (VAN),2019-2019,2019,2019,0,9,3,2,2,1*,1,1,2,4,50,0,0,1,0,0, 0.22 ,0.00,0.00,21.20
Nazwan Ismail (Mald),2019-2019,2019,2019,0,3,1,1,2,2*,2,1,-,2,100,0,0,0,0,0, 0.67 ,0.00,0.00,#VALUE!
A Ndlovu (ZIM),2019-2019,2019,2019,0,3,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 0.67 ,0.00,0.00,21.20
K Nima (BHU),2019-2019,2019,2019,0,1,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
Noman Kamawi (Belg),2019-2019,2019,2019,0,1,1,0,2,2,2,0,2,7,28.57,0,0,0,0,0, 2.00 ,0.00,0.00,12.63
L Nou (PNG),2015-2015,2015,2015,0,3,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 0.67 ,0.00,0.00,#VALUE!
S Saeed (Mald),2019-2019,2019,2019,0,5,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 0.40 ,0.00,0.00,21.20
Saqlain Ali (Belg),2019-2019,2019,2019,0,2,1,0,2,2,2,0,2,6,33.33,0,0,0,0,0, 1.00 ,0.00,0.00,14.53
Shoaib Gazi Hossain (Chile),2019-2019,2019,2019,0,4,1,0,2,2,2,0,2,5,40,0,0,0,0,0, 0.50 ,0.00,0.00,17.20
Suhrid Roy (MALTA),2019-2019,2019,2019,0,1,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
A Tripathi (Mex),2019-2019,2019,2019,0,3,2,2,2,1*,1,1,-,4,50,0,0,0,0,0, 0.67 ,0.00,0.00,#VALUE!
LL Tsotsobe (SA),2009-2014,2009,2014,5,23,3,2,2,1*,1,1,2,10,20,0,0,0,0,0, 0.09 ,0.00,0.00,9.20
Usman Shinwari (PAK),2013-2019,2013,2019,6,16,3,3,2,2*,2,1,-,3,66.66,0,0,0,0,0, 0.13 ,0.00,0.00,#VALUE!
S Vijayakumar (SGP),2019-2019,2019,2019,0,9,2,0,2,1,1,0,1,5,40,0,0,0,0,0, 0.22 ,0.00,0.00,16.60
R Vinay Kumar (INDIA),2010-2013,2010,2013,3,9,1,1,2,2*,2,1,-,4,50,0,0,0,0,0, 0.22 ,0.00,0.00,#VALUE!
Waqar Khan (Peru),2019-2019,2019,2019,0,4,2,1,2,2*,2,1,2,3,66.66,0,0,1,0,0, 0.50 ,0.00,0.00,27.86
Waqas Raja (Fin),2019-2019,2019,2019,0,1,1,1,2,2*,2,1,-,2,100,0,0,0,0,0, 2.00 ,0.00,0.00,#VALUE!
UWMBCA Welegedara (SL),2010-2010,2010,2010,0,2,1,1,2,2*,2,1,-,3,66.66,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
BTJ Wheal (SCOT),2016-2017,2016,2017,1,5,2,2,2,2*,2,1,-,2,100,0,0,0,0,0, 0.40 ,0.00,0.00,#VALUE!
UT Yadav (INDIA),2012-2019,2012,2019,7,7,1,0,2,2,2,0,2,4,50,0,0,0,0,0, 0.29 ,0.00,0.00,21.20
Zaheer Maqsood (UAE),2015-2016,2015,2016,1,3,1,0,2,2,2,0,2,5,40,0,0,0,0,0, 0.67 ,0.00,0.00,17.20
Z Abbasi (Botsw),2019-2019,2019,2019,0,1,1,0,1,1,1,0,1,5,20,0,0,0,0,0, 1.00 ,0.00,0.00,8.60
KK Ahmed (INDIA),2018-2019,2018,2019,1,14,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.07 ,0.00,0.00,#VALUE!
J Allen (),2019-2019,2019,2019,0,2,2,1,1,1*,1,1,1,4,25,0,0,1,0,0, 0.50 ,0.00,0.00,10.60
HS Alta (TKY),2019-2019,2019,2019,0,4,4,1,1,1*,1,1,0.33,10,10,0,0,3,0,0, 0.25 ,0.00,0.00,4.20
JM Anderson (ENG),2007-2009,2007,2009,2,19,4,3,1,1*,1,1,1,2,50,0,0,1,0,0, 0.05 ,0.00,0.00,20.60
B Angeltti (Arg),2019-2019,2019,2019,0,3,1,0,1,1,1,0,1,4,25,0,0,0,0,0, 0.33 ,0.00,0.00,10.60
V Ateak (Ghana),2019-2019,2019,2019,0,4,1,1,1,1*,1,1,-,2,50,0,0,0,0,0, 0.25 ,0.00,0.00,#VALUE!
Awais Malik (QAT),2019-2019,2019,2019,0,11,4,0,1,1,1,0,0.25,4,25,0,0,3,0,0, 0.09 ,0.00,0.00,10.15
Babar Ali (BAH),2019-2019,2019,2019,0,3,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.33 ,0.00,0.00,#VALUE!
DE Bernard (WI),2009-2009,2009,2009,0,1,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
S Bhari (NEPAL),2019-2019,2019,2019,0,6,3,2,1,1*,1,1,1,5,20,0,0,1,0,0, 0.17 ,0.00,0.00,8.60
DE Bollinger (AUS),2011-2014,2011,2014,3,9,2,2,1,1*,1,1,-,1,100,0,0,0,0,0, 0.11 ,0.00,0.00,#VALUE!
DR Brown (SCOT),2007-2007,2007,2007,0,2,1,0,1,1,1,0,1,5,20,0,0,0,0,0, 0.50 ,0.00,0.00,8.60
N Buckle (GUE),2019-2019,2019,2019,0,3,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.33 ,0.00,0.00,#VALUE!
DL Chahar (INDIA),2018-2019,2018,2019,1,10,2,2,1,1*,1,1,-,1,100,0,0,0,0,0, 0.10 ,0.00,0.00,#VALUE!
R Dhawan (INDIA),2016-2016,2016,2016,0,1,1,1,1,1*,1,1,-,2,50,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
Dhiman Ghosh (BDESH),2008-2008,2008,2008,0,1,1,0,1,1,1,0,1,2,50,0,0,0,0,0, 1.00 ,0.00,0.00,20.60
HH Dippenaar (SA),2006-2006,2006,2006,0,1,1,0,1,1,1,0,1,5,20,0,0,0,0,0, 1.00 ,0.00,0.00,8.60
B Dugic (Serb),2019-2019,2019,2019,0,2,1,0,1,1,1,0,1,4,25,0,0,0,0,0, 0.50 ,0.00,0.00,10.60
GDR Eranga (CAN),2019-2019,2019,2019,0,9,1,0,1,1,1,0,1,1,100,0,0,0,0,0, 0.11 ,0.00,0.00,40.60
AC Evans (SCOT),2015-2019,2015,2019,4,27,6,1,1,1*,1,1,0.2,10,10,0,0,5,0,0, 0.04 ,0.00,0.00,4.12
LH Ferguson (NZ),2017-2019,2017,2019,2,8,1,0,1,1,1,0,1,3,33.33,0,0,0,0,0, 0.13 ,0.00,0.00,13.93
P Florin (ROM),2019-2019,2019,2019,0,4,2,1,1,1*,1,1,1,1,100,0,0,1,0,0, 0.25 ,0.00,0.00,40.60
MD Garratt (GIBR),2019-2019,2019,2019,0,4,2,1,1,1,1,0,1,5,20,0,0,0,0,0, 0.25 ,0.00,0.00,8.60
A Gavde (Caym),2019-2019,2019,2019,0,1,1,0,1,1,1,0,1,6,16.66,0,0,0,0,0, 1.00 ,0.00,0.00,7.26
O Goker (TKY),2019-2019,2019,2019,0,1,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
Hashmatullah Shahidi (AFG),2013-2013,2013,2013,0,1,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
GM Hyde (Blz),2019-2019,2019,2019,0,3,1,0,1,1,1,0,1,6,16.66,0,0,0,0,0, 0.33 ,0.00,0.00,7.26
JS Jesani (KENYA),2007-2007,2007,2007,0,1,1,0,1,1,1,0,1,5,20,0,0,0,0,0, 1.00 ,0.00,0.00,8.60
MBS Jonkman (NL),2010-2010,2010,2010,0,3,1,0,1,1,1,0,1,8,12.5,0,0,0,0,0, 0.33 ,0.00,0.00,5.60
B Khumalo (Botsw),2019-2019,2019,2019,0,3,1,0,1,1,1,0,1,3,33.33,0,0,0,0,0, 0.33 ,0.00,0.00,13.93
GE Kidd (IRE),2010-2010,2010,2010,0,1,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
VJ Kingma (NL),2016-2019,2016,2019,3,4,2,1,1,1,1,0,1,5,20,0,0,0,0,0, 0.25 ,0.00,0.00,8.60
DS Kulkarni (INDIA),2016-2016,2016,2016,0,2,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.50 ,0.00,0.00,#VALUE!
A Lagos (),2019-2019,2019,2019,0,1,1,1,1,1*,1,1,-,4,25,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
J Lewis (ENG),2005-2007,2005,2007,2,2,2,1,1,1,1,0,1,4,25,0,0,0,0,0, 0.50 ,0.00,0.00,10.60
J Louw (SA),2008-2009,2008,2009,1,2,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.50 ,0.00,0.00,#VALUE!
R Mahajan (PHI),2019-2019,2019,2019,0,3,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 0.33 ,0.00,0.00,#VALUE!
SI Mahmood (ENG),2006-2009,2006,2009,3,4,2,2,1,1*,1,1,-,2,50,0,0,0,0,0, 0.25 ,0.00,0.00,#VALUE!
RD McCann (IRE),2012-2012,2012,2012,0,3,1,0,1,1,1,0,1,2,50,0,0,0,0,0, 0.33 ,0.00,0.00,20.60
MR Montfort (CAN),2019-2019,2019,2019,0,1,1,1,1,1*,1,1,-,1,100,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
Muhammed Shanil (UAE),2016-2016,2016,2016,0,1,1,1,1,1*,1,1,-,3,33.33,0,0,0,0,0, 1.00 ,0.00,0.00,#VALUE!
M Muralitharan (SL),2006-2010,2006,2010,4,12,2,0,1,1,1,0,0.5,5,20,0,0,1,0,0, 0.08 ,0.00,0.00,8.30
B Muzarabani (ZIM),2018-2018,2018,2018,0,6,3,2,1,1*,1,1,1,5,20,0,0,1,0,0, 0.17 ,0.00,0.00,8.60
