Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
DO Obuya (KENYA),2007-2012,2007,2012,5,10,10,2,216,65*,65,1,27,228,94.73,0,2,1,22,4, 21.60 ,0.00,20.00,54.09
MJG Rippon (NL),2013-2018,2013,2018,5,18,11,4,216,42,42,0,30.85,192,112.5,0,0,2,15,3, 12.00 ,0.00,0.00,63.51
KMDN Kulasekara (SL),2008-2017,2008,2017,9,58,30,9,215,31,31,0,10.23,184,116.84,0,0,4,14,7, 3.71 ,0.00,0.00,52.87
EMDY Munaweera (SL),2012-2017,2012,2017,5,13,13,1,215,53,53,0,17.91,164,131.09,0,1,1,25,7, 16.54 ,0.00,7.69,63.18
B Ward (JER),2019-2019,2019,2019,0,13,12,3,215,58*,58,1,23.88,160,134.37,0,1,1,8,15, 16.54 ,0.00,7.69,68.08
S Prasanna (SL),2013-2017,2013,2017,4,20,20,6,214,37*,37,1,15.28,161,132.91,0,0,0,13,13, 10.70 ,0.00,0.00,62.33
S Wickramasekara (CZK-R),2019-2019,2019,2019,0,5,5,2,214,104*,104,1,71.33,104,205.76,1,1,0,17,19, 42.80 ,20.00,20.00,125.10
RG Aga (KENYA),2008-2013,2008,2013,5,20,18,2,213,52*,52,1,13.31,196,108.67,0,1,0,15,5, 10.65 ,0.00,5.00,51.45
Haroon Arshad (HKG),2019-2019,2019,2019,0,10,10,3,211,68,68,0,30.14,154,137.01,0,1,0,15,7, 21.10 ,0.00,10.00,72.89
Haris Sohail (PAK),2013-2019,2013,2019,6,14,13,2,210,52,52,0,19.09,204,102.94,0,2,1,16,3, 15.00 ,0.00,14.29,52.63
CA Ingram (SA),2010-2012,2010,2012,2,9,9,1,210,78,78,0,26.25,162,129.62,0,1,1,23,7, 23.33 ,0.00,11.11,67.60
Khurram Nawaz (OMAN),2017-2019,2017,2019,2,18,13,3,210,58,58,0,21,179,117.31,0,1,0,11,10, 11.67 ,0.00,5.56,59.52
Bilal Zalmai (Aut),2019-2019,2019,2019,0,5,4,1,208,111*,111,1,69.33,109,190.82,1,0,0,16,16, 41.60 ,20.00,0.00,117.93
Ghulam Shabber (UAE),2016-2019,2016,2019,3,17,14,3,208,58*,58,1,18.9,182,114.28,0,1,0,24,4, 12.24 ,0.00,5.88,57.05
BBJL Perera (ITA),2019-2019,2019,2019,0,8,7,1,208,67,67,0,34.66,144,144.44,0,1,0,23,8, 26.00 ,0.00,12.50,78.57
BMAJ Mendis (SL),2011-2018,2011,2018,7,22,15,4,207,43*,43,1,18.81,174,118.96,0,0,1,18,6, 9.41 ,0.00,0.00,58.87
JJ Smit (NAM),2019-2019,2019,2019,0,12,10,2,206,59,59,0,25.75,128,160.93,0,1,0,10,14, 17.17 ,0.00,8.33,79.82
DL Vettori (NZ),2007-2014,2007,2014,7,34,22,6,205,38,38,0,12.81,190,107.89,0,0,3,14,2, 6.03 ,0.00,0.00,50.84
JM Kemp (SA),2005-2007,2005,2007,2,8,7,3,203,89*,89,1,50.75,160,126.87,0,1,0,17,10, 25.38 ,0.00,12.50,81.20
DS Smith (WI),2007-2009,2007,2009,2,6,6,0,203,61,61,0,33.83,161,126.08,0,2,0,22,5, 33.83 ,0.00,33.33,70.73
